Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
303,Vince Carter\cartevi01,ATL,2564753.00 $,,,,,,Minimum Salary,2564753.00 $
304,Josh Okogie\okogijo01,MIN,2530680.00 $,2651040.00 $,4087904.00 $,,,,1st Round Pick,5181720.00 $
305,Vincent Poirier\poirivi01,BOS,2505793.00 $,2619207.00 $,,,,,Minimum Salary,5125000.00 $
306,Rondae Hollis-Jefferson\holliro01,TOR,2500000.00 $,,,,,,MLE,2500000.00 $
307,Brandon Clarke\clarkbr01,MEM,2478840.00 $,2602920.00 $,2726880.00 $,4343920.00 $,,,1st Round Pick,5081760.00 $
308,Terrance Ferguson\fergute01,OKC,2475840.00 $,3944013.00 $,,,,,1st Round Pick,6419853.00 $
309,Grayson Allen\allengr01,MEM,2429400.00 $,2545320.00 $,4054695.00 $,,,,1st Round Pick,4974720.00 $
310,Anthony Tolliver\tollian01,SAC,2419852.00 $,,,,,,,2419852.00 $
311,Grant Williams\willigr01,BOS,2379840.00 $,2498760.00 $,2617800.00 $,4306281.00 $,,,1st Round Pick,4878600.00 $
312,Jarrett Allen\allenja01,BRK,2376840.00 $,3909902.00 $,,,,,1st Round Pick,6286742.00 $
313,Pascal Siakam\siakapa01,TOR,2351839.00 $,29000000.00 $,31320000.00 $,33640000.00 $,35960000.00 $,,1st Round pick,132271839.00 $
314,Skal Labissière\labissk01,ATL,2338847.00 $,,,,,,1st Round pick,2338847.00 $
315,Chandler Hutchison\hutchch01,CHI,2332320.00 $,2443440.00 $,4019459.00 $,,,,1st Round Pick,4775760.00 $
316,Patrick Patterson\pattepa01,LAC,2331593.00 $,,,,,,Minimum Salary,2331593.00 $
317,Dejounte Murray\murrade01,SAS,2321735.00 $,14285714.00 $,15428571.00 $,16571429.00 $,17714286.00 $,,1st Round pick,66321735.00 $
318,Alec Burks\burksal01,PHI,2320044.00 $,,,,,,Minimum Salary,2320044.00 $
319,Isaiah Thomas\thomais02,LAC,2320044.00 $,,,,,,,2320044.00 $
320,Damian Jones\jonesda03,ATL,2305057.00 $,,,,,,1st Round pick,2305057.00 $
321,Darius Bazley\bazleda01,OKC,2284800.00 $,2399160.00 $,2513040.00 $,4264629.00 $,,,1st Round Pick,4683960.00 $
322,OG Anunoby\anunoog01,TOR,2281800.00 $,3872215.00 $,,,,,1st Round Pick,6154015.00 $
323,Ante Žižić\zizican01,CLE,2281800.00 $,,,,,,1st Round Pick,2281800.00 $
324,Monta Ellis\ellismo01,IND,2245400.00 $,2245400.00 $,2245400.00 $,,,,,6736200.00 $
325,Markieff Morris\morrima02,DET,2241808.00 $,,,,,,,2241808.00 $
326,Aaron Holiday\holidaa01,IND,2239200.00 $,2345640.00 $,3980551.00 $,,,,1st Round Pick,4584840.00 $
327,Luke Kornet\kornelu01,CHI,2195122.00 $,2304878.00 $,,,,,Room Exception,4500000.00 $
328,Ty Jerome\jeromty01,PHO,2193480.00 $,2303040.00 $,2412840.00 $,4220057.00 $,,,1st Round Pick,4496520.00 $
329,Willie Cauley-Stein\caulewi01,DAL,2177483.00 $,2286357.00 $,,,,,MLE,2177483.00 $
330,Austin Rivers\riverau01,HOU,2174318.00 $,2369663.00 $,,,,,Minimum Salary,2174318.00 $
331,Carmelo Anthony\anthoca01,POR,2159029.00 $,,,,,,Minimum Salary,2159029.00 $
332,Anfernee Simons\simonan01,POR,2149560.00 $,2252040.00 $,3938818.00 $,,,,1st Round Pick,4401600.00 $
333,Matt Barnes\barnema02,SAC,2133541.00 $,,,,,,,2133541.00 $
334,Nassir Little\littlna01,POR,2105520.00 $,2210640.00 $,2316240.00 $,4171548.00 $,,,1st Round Pick,4316160.00 $
